id,created_at,text
1288131409715093509,2020-07-28 15:17:15,Vocês também quando vão procurar o ativo #COGN3 colocam sem querer #CONG3?
1288107194857054212,2020-07-28 13:41:01,@puglihedge Só boas energias para nossas queridinhas hoje #avarongaémara  NAMASTÊ!
1288069051122671617,2020-07-28 11:09:27,"DIA

🇧🇷 9h30 Investimento estrangeiro direto mensal 
🇧🇷 11h Registro Caged mensal 
🇺🇸 11h Confiança do consumidor mensal 
📈 Resultados 2T20 Cielo, CSN, Minerva, Smiles 
📈 S&amp;P Futuros -0,17%

Bons trades!"
1287938709321592835,2020-07-28 02:31:31,@thiagoaoliveira @albuquerque_af @tradersclubbr @cafecomferri @memolitinho @FelipePontesPB @pedromdrsantos @diiandrasantos 👏👏👏👏
1287894223472254980,2020-07-27 23:34:45,"@ronyzago Continuo comprada e acreditando! Nada mudou, normal essa correção"
1287853501058551812,2020-07-27 20:52:56,@cafecomferri Kakakakakakaa https://t.co/OFDo1fpHa0
1287852141529489409,2020-07-27 20:47:32,"Então quer dizer que os bancos resolveram andar?

#ITUB4 +5,02%
#BBDC4 +4,59%
#BBDC3 +4,15%
#BBAS3 +2,83%
#SANB11 +1,69%"
1287836852423217154,2020-07-27 19:46:47,@memolitinho https://t.co/QhYGCaxl4x
1287809009228165126,2020-07-27 17:56:08,@fendzzo @diiandrasantos @wazlawickju @PugliesiT @AuriaChiminazzo @FernandaChimin3 @cafecomferri @albuquerque_af @pedromdrsantos @sergiosanita @israel_massa @tradersclubbr @FelipePontesPB @FerraoMauricio @omarajame @tcmemesbr @FerronatoDaniel https://t.co/kgXh0OzPUu
1287774371847843840,2020-07-27 15:38:30,Não quero comemorar mas meu espírito torcedora oficial de #BBDC4 não tá me deixando ficar quieta.
1287774077365751810,2020-07-27 15:37:20,"@cafecomferri AAis que queiram oferecer o melhor serviço de qualidade para seus clientes com condições especiais, só me chamar inbox!"
1287773820212908033,2020-07-27 15:36:19,@moises_beida @cafecomferri @IVANKRAISER Porque nunca estão na mesma direção?
1287772188733517824,2020-07-27 15:29:50,@puglihedge kkkkkkkkkkkkkkkkkkkkkk mt bom
1287762837348274177,2020-07-27 14:52:40,@Larihm5 KKKKKKKKKKKKKKKK MARAVILHOSA
1287761747072487424,2020-07-27 14:48:20,Só pode ser miragem ou foi suas boas vibrações! https://t.co/2s7Nd93kOa
1287728672284315648,2020-07-27 12:36:54,@cafecomferri https://t.co/V0hR8ICHeo
